,Surgery,Age,Hospital number,rectal temperature,pulse,respiratory rate,temp of extremities,peripheral pulse,mucous membranes,capillary refill time,pain,peristalsis,abdominal distension,nasogastric tube,nasogastric reflux,nasogastric reflux PH,rectal examination,abdomen,packed cell volume,total protein,abdominocentesis appearance,abdomcentesis total protein,outcome,surgical lesion?,type of lesion,type of lesion,type of lesion,cp_data,1
0,,Surgery,Age,Hospital number,rectal temperature,pulse,respiratory rate,temp of extremities,peripheral pulse,mucous membranes,capillary refill time,pain,peristalsis,abdominal distension,nasogastric tube,nasogastric reflux,nasogastric reflux PH,rectal examination,abdomen,packed cell volume,total protein,abdominocentesis appearance,abdomcentesis total protein,outcome,surgical lesion?,type of lesion,type of lesion,type of lesion,cp_data
1,0.0,2,1,530101,38.50,66,28,3,3,,2,5,4,4,,,,3,5,45.00,8.40,,,2,2,11300,0,0,2
2,1.0,1,1,534817,39.2,88,20,,,4,1,3,4,2,,,,4,2,50,85,2,2,3,2,2208,0,0,2
3,2.0,2,1,530334,38.30,40,24,1,1,3,1,3,3,1,,,,1,1,33.00,6.70,,,1,2,0,0,0,1
4,3.0,1,9,5290409,39.10,164,84,4,1,6,2,2,4,4,1,2,5.00,3,,48.00,7.20,3,5.30,2,1,2208,0,0,1
5,4.0,2,1,530255,37.30,104,35,,,6,2,,,,,,,,,74.00,7.40,,,2,2,4300,0,0,2
6,5.0,2,1,528355,,,,2,1,3,1,2,3,2,2,1,,3,3,,,,,1,2,0,0,0,2
7,6.0,1,1,526802,37.90,48,16,1,1,1,1,3,3,3,1,1,,3,5,37.00,7.00,,,1,1,3124,0,0,2
8,7.0,1,1,529607,,60,,3,,,1,,4,2,2,1,,3,4,44.00,8.30,,,2,1,2208,0,0,2
9,8.0,2,1,530051,,80,36,3,4,3,1,4,4,4,2,1,,3,5,38.00,6.20,,,3,1,3205,0,0,2
10,9.0,2,9,5299629,38.30,90,,1,,1,1,5,3,1,2,1,,3,,40.00,6.20,1,2.20,1,2,0,0,0,1
11,10.0,1,1,528548,38.10,66,12,3,3,5,1,3,3,1,2,1,3.00,2,5,44.00,6.00,2,3.60,1,1,2124,0,0,1
12,11.0,2,1,527927,39.10,72,52,2,,2,1,2,1,2,1,1,,4,4,50.00,7.80,,,1,1,2111,0,0,2
13,12.0,1,1,528031,37.20,42,12,2,1,1,1,3,3,3,3,1,,4,5,,7.00,,,1,2,4124,0,0,2
14,13.0,2,9,5291329,38.00,92,28,1,1,2,1,1,3,2,3,,7.20,1,1,37.00,6.10,1,,2,2,0,0,0,1
15,14.0,1,1,534917,38.2,76,28,3,1,1,1,3,4,1,2,2,,4,4,46,81,1,2,1,1,2112,0,0,2
16,15.0,1,1,530233,37.60,96,48,3,1,4,1,5,3,3,2,3,4.50,4,,45.00,6.80,,,2,1,3207,0,0,2
17,16.0,1,9,5301219,,128,36,3,3,4,2,4,4,3,3,,,4,5,53.00,7.80,3,4.70,2,2,1400,0,0,1
18,17.0,2,1,526639,37.50,48,24,,,,,,,,,,,,,,,,,1,2,0,0,0,2
19,18.0,1,1,5290481,37.60,64,21,1,1,2,1,2,3,1,1,1,,2,5,40.00,7.00,1,,1,1,4205,0,0,1
20,19.0,2,1,532110,39.4,110,35,4,3,6,,,3,3,,,,,,55,8.7,,,1,2,0,0,0,2
21,20.0,1,1,530157,39.90,72,60,1,1,5,2,5,4,4,3,1,,4,4,46.00,6.10,2,,1,1,2111,0,0,2
22,21.0,2,1,529340,38.40,48,16,1,,1,1,1,3,1,2,3,5.50,4,3,49.00,6.80,,,1,2,0,0,0,2
23,22.0,1,1,521681,38.60,42,34,2,1,4,,2,3,1,,,,1,,48.00,7.20,,,1,1,3111,0,0,2
24,23.0,1,9,534998,38.3,130,60,,3,,1,2,4,,,,,,,50,70,,,1,1,3111,0,0,2
25,24.0,1,1,533692,38.1,60,12,3,3,3,1,,4,3,3,2,2,,,51,65,,,1,1,3111,0,0,2
26,25.0,2,1,529518,37.80,60,42,,,,1,,,,,,,,,,,,,1,2,0,0,0,2
27,26.0,1,1,530526,38.30,72,30,4,3,3,2,3,3,3,2,1,,3,5,43.00,7.00,2,3.90,1,1,3111,0,0,1
28,27.0,1,1,528653,37.80,48,12,3,1,1,1,,3,2,1,1,,1,3,37.00,5.50,2,1.30,1,2,4122,0,0,1
29,28.0,1,1,5279442,,,,,,,,,,,,,,,,,,,,2,2,4300,0,0,2
30,29.0,2,1,535415,37.7,48,,2,1,1,1,1,1,1,1,1,,,,45,76,,,1,2,0,0,0,2
31,30.0,2,1,529475,37.70,96,30,3,3,4,2,5,4,4,3,2,4.00,4,5,66.00,7.50,,,2,1,4205,0,0,2
32,31.0,2,1,530242,37.20,108,12,3,3,4,2,2,4,2,,3,6.00,3,3,52.00,8.20,3,7.40,3,1,2207,0,0,1
33,32.0,1,1,529427,37.20,60,,2,1,1,1,3,3,3,2,1,,4,5,43.00,6.60,,,1,1,2209,0,0,2
34,33.0,1,1,529663,38.20,64,28,1,1,1,1,3,1,,,,,4,4,49.00,8.60,2,6.60,1,1,2208,0,0,1
35,34.0,1,1,529796,,100,30,3,3,4,2,5,4,4,3,3,,4,4,52.00,6.60,,,1,1,1124,0,0,2
36,35.0,2,1,528812,,104,24,4,3,3,2,4,4,3,,3,,,2,73.00,8.40,,,3,1,7111,0,0,2
37,36.0,2,1,529493,38.30,112,16,,3,5,2,,,1,1,2,,,5,51.00,6.00,2,1.00,3,2,5205,0,0,1
